"state","location","type","so2","no2","rspm","pm2_5","date"
"Odisha","Cuttack","Residential",2,24,54,35,"2014-01-07"
"Telangana","Sangareddy","Industrial",3.4,44.8,100,24,"2014-01-07"
"Madhya Pradesh","Bhopal","Residential",2,36,79,68,"2014-01-08"
"Odisha","Bhubaneswar","Residential",2,14,50,14,"2014-01-08"
"Odisha","Cuttack","Residential",2,24,38,21,"2014-01-08"
"Odisha","Paradeep","Industrial",12,11,37,18,"2014-01-08"
"Odisha","Paradeep","Residential",13,12,56,22,"2014-01-08"
"Telangana","Sangareddy","Industrial",3.03,31.5,33,10,"2014-01-08"
"Gujarat","Ankleshwar","Residential",13,19,81,24,"2014-01-09"
"Gujarat","Ankleshwar","Industrial",15,23,102,31,"2014-01-09"
"Madhya Pradesh","Bhopal","Industrial",2,23,155,140,"2014-01-09"
"Odisha","Cuttack","Residential",2,31,51,39,"2014-01-09"
"Telangana","Sangareddy","Industrial",3.5,26.1,21,6,"2014-01-09"
"Odisha","Paradeep","Industrial",10,11,117,27,"2014-01-10"
"Odisha","Paradeep","Residential",8,12,65,19,"2014-01-10"
"Telangana","Sangareddy","Industrial",6.5,45.3,106,49,"2014-01-10"
"Madhya Pradesh","Bhopal","Industrial",2,12,143,209,"2014-01-11"
"Odisha","Cuttack","Residential",2,26,85,56,"2014-01-11"
"Telangana","Sangareddy","Industrial",24.3,70.8,213,98,"2014-01-11"
"Gujarat","Ankleshwar","Residential",14,21,79,28,"2014-01-12"
"Gujarat","Ankleshwar","Industrial",14,22,84,31,"2014-01-12"
"Madhya Pradesh","Bhopal","Industrial",2,12,128,98,"2014-01-12"
"Odisha","Cuttack","Residential",3,32,112,75,"2014-01-12"
"Telangana","Sangareddy","Industrial",9.3,78.2,143,51,"2014-01-12"
"Gujarat","Ahmedabad","Industrial",13.9,18.11666667,87.33333333,20,"2014-01-13"
"Gujarat","Ahmedabad","Residential",13,19,93,22,"2014-01-13"
"Gujarat","Ahmedabad","Residential",13,22,72,27,"2014-01-13"
"Gujarat","Ahmedabad","Residential",14,20,84,25,"2014-01-13"
"Gujarat","Ahmedabad","Industrial",14,18,74,26,"2014-01-13"
"Gujarat","Ahmedabad","Residential",15,20,92,29,"2014-01-13"
"Gujarat","Ankleshwar","Residential",24,25,92,29,"2014-01-13"
"Gujarat","Ankleshwar","Industrial",20,18,85,24,"2014-01-13"
"Gujarat","Rajkot","Industrial",13,15,75,29,"2014-01-13"
"Gujarat","Rajkot","Residential",10,13,77,22,"2014-01-13"
"Gujarat","Surat","Residential",14,14,66,33,"2014-01-13"
"Gujarat","Surat","Industrial",14,15,92,26,"2014-01-13"
"Gujarat","Surat","Residential",19,20,81,33,"2014-01-13"
"Gujarat","Vadodara","Industrial",20,23,81,30,"2014-01-13"
"Gujarat","Vadodara","Residential",11,18,87,30,"2014-01-13"
"Gujarat","Vadodara","Residential",16,19,86,31,"2014-01-13"
"Gujarat","Vapi","Residential",14,17,75,15,"2014-01-13"
"Gujarat","Vapi","Industrial",15,16,101,48,"2014-01-13"
"Madhya Pradesh","Bhopal","Industrial",3,23,246,148,"2014-01-13"
"Odisha","Cuttack","Residential",2,37,157,97,"2014-01-13"
"Telangana","Sangareddy","Industrial",1.1,49,76,46,"2014-01-13"
"Gujarat","Jamnagar","Residential",12.71666667,17,69,28,"2014-01-14"
"Odisha","Cuttack","Residential",2,35,139,81,"2014-01-14"
"Telangana","Sangareddy","Industrial",1.3,54,82,54,"2014-01-14"
"Madhya Pradesh","Bhopal","Residential",2,29,125,49,"2014-01-15"
"Odisha","Cuttack","Residential",2,39,170,84,"2014-01-15"
"Odisha","Paradeep","Industrial",7,12,140,75,"2014-01-15"
"Odisha","Paradeep","Residential",9,13,151,73,"2014-01-15"
"Odisha","Paradeep","Residential",8,13,184,60,"2014-01-15"
"Telangana","Sangareddy","Industrial",1.4,56,94,62,"2014-01-15"
"Gujarat","Ahmedabad","Industrial",16.13333333,15.88333333,56.66666667,19,"2014-01-16"
"Gujarat","Ahmedabad","Residential",14,18,75,26,"2014-01-16"
"Gujarat","Ahmedabad","Residential",14,21,75,25,"2014-01-16"
"Gujarat","Ahmedabad","Residential",14,22,65,22,"2014-01-16"
"Gujarat","Ahmedabad","Industrial",13,17,77,25,"2014-01-16"
"Gujarat","Ahmedabad","Residential",17,20,70,37,"2014-01-16"
"Gujarat","Ankleshwar","Residential",22,23,96,30,"2014-01-16"
"Gujarat","Ankleshwar","Industrial",25,18,85,31,"2014-01-16"
"Gujarat","Rajkot","Industrial",12,14,73,27,"2014-01-16"
"Gujarat","Rajkot","Residential",11,12,74,26,"2014-01-16"
"Gujarat","Surat","Residential",15,14,77,29,"2014-01-16"
"Gujarat","Surat","Industrial",17,15,105,23,"2014-01-16"
"Gujarat","Surat","Residential",19,16,97,27,"2014-01-16"
"Gujarat","Vadodara","Industrial",17,23,93,34,"2014-01-16"
"Gujarat","Vadodara","Residential",14,18,67,29,"2014-01-16"
"Gujarat","Vadodara","Residential",14,18,82,27,"2014-01-16"
"Gujarat","Vapi","Residential",14,14,72,29,"2014-01-16"
"Gujarat","Vapi","Industrial",18,15,98,45,"2014-01-16"
"Odisha","Cuttack","Residential",2,40,157,97,"2014-01-16"
"Telangana","Sangareddy","Industrial",1.5,59.2,105,48,"2014-01-16"
"Gujarat","Jamnagar","Residential",15.03333333,17,77,20,"2014-01-17"
"Madhya Pradesh","Bhopal","Residential",2,23,121,85,"2014-01-17"
"Odisha","Bhubaneswar","Residential",2,30,179,94,"2014-01-17"
"Odisha","Bhubaneswar","Residential",2,35,187,102,"2014-01-17"
"Odisha","Cuttack","Residential",2,37,141,76,"2014-01-17"
"Odisha","Paradeep","Industrial",6,13,147,78,"2014-01-17"
"Odisha","Paradeep","Residential",8,12,181,81,"2014-01-17"
"Odisha","Paradeep","Residential",6,13,205,66,"2014-01-17"
"Telangana","Sangareddy","Industrial",6.2,34.8,67,40,"2014-01-17"
"Madhya Pradesh","Bhopal","Industrial",2,22,101,35,"2014-01-18"
"Odisha","Cuttack","Residential",2,36,168,89,"2014-01-18"
"Telangana","Sangareddy","Industrial",10.1,39.7,79,48,"2014-01-18"
"Telangana","Sangareddy","Industrial",11.9,42.4,65,32,"2014-01-19"
"Gujarat","Ahmedabad","Industrial",14.61666667,14.96666667,77.66666667,25,"2014-01-20"
"Gujarat","Ahmedabad","Residential",14,20,81,29,"2014-01-20"
"Gujarat","Ahmedabad","Residential",15,19,85,21,"2014-01-20"
"Gujarat","Ahmedabad","Residential",14,19,82,26,"2014-01-20"
"Gujarat","Ahmedabad","Industrial",14,20,95,30,"2014-01-20"
"Gujarat","Ahmedabad","Residential",14,18,94,19,"2014-01-20"
"Gujarat","Ankleshwar","Residential",22,22,93,33,"2014-01-20"
"Gujarat","Ankleshwar","Industrial",17,14,85,34,"2014-01-20"
"Gujarat","Rajkot","Industrial",13,14,68,25,"2014-01-20"
"Gujarat","Surat","Residential",15,12,72,30,"2014-01-20"
"Gujarat","Surat","Industrial",18,14,110,21,"2014-01-20"
"Gujarat","Surat","Residential",17,16,84,24,"2014-01-20"
"Gujarat","Vadodara","Industrial",21,21,99,41,"2014-01-20"
"Gujarat","Vadodara","Residential",13,17,76,26,"2014-01-20"
"Gujarat","Vadodara","Residential",15,19,94,33,"2014-01-20"
"Gujarat","Vapi","Residential",14,15,89,31,"2014-01-20"
"Gujarat","Vapi","Industrial",17,18,96,33,"2014-01-20"
"Madhya Pradesh","Bhopal","Industrial",2,28,152,116,"2014-01-20"
"Odisha","Cuttack","Residential",3,38,148,89,"2014-01-20"
"Telangana","Sangareddy","Industrial",10.3,52.3,89,45,"2014-01-20"
"Gujarat","Jamnagar","Residential",13.7,16,79,24,"2014-01-21"
"Odisha","Bhubaneswar","Residential",2,20,150,85,"2014-01-21"
"Odisha","Bhubaneswar","Residential",2,20,155,48,"2014-01-21"
"Odisha","Cuttack","Residential",2,33,135,59,"2014-01-21"
"Odisha","Paradeep","Industrial",7,12,116,62,"2014-01-21"
"Odisha","Paradeep","Residential",13,12,162,78,"2014-01-21"
"Odisha","Paradeep","Residential",14,13,143,72,"2014-01-21"
"Telangana","Sangareddy","Industrial",8.3,51.2,71,36,"2014-01-21"
"Madhya Pradesh","Bhopal","Residential",8.08222107401066,22.5922759331576,106,69,"2014-01-22"
"Odisha","Bhubaneswar","Residential",2,29,156,28,"2014-01-22"
"Odisha","Cuttack","Residential",2,38,178,90,"2014-01-22"
"Telangana","Sangareddy","Industrial",8.5,51.5,75,40,"2014-01-22"
"Gujarat","Ahmedabad","Industrial",19.4,15.28333333,87.33333333,21,"2014-01-23"
"Gujarat","Ahmedabad","Residential",14,22,85,27,"2014-01-23"
"Gujarat","Ahmedabad","Residential",15,20,71,23,"2014-01-23"
"Gujarat","Ahmedabad","Residential",14,17,72,23,"2014-01-23"
"Gujarat","Ahmedabad","Industrial",15,20,82,21,"2014-01-23"
"Gujarat","Ahmedabad","Residential",14,17,80,22,"2014-01-23"
"Gujarat","Ankleshwar","Residential",21,21,83,26,"2014-01-23"
"Gujarat","Ankleshwar","Industrial",18,16,85,29,"2014-01-23"
"Gujarat","Rajkot","Industrial",15,12,82,31,"2014-01-23"
"Gujarat","Surat","Residential",14,14,76,26,"2014-01-23"
"Gujarat","Surat","Industrial",16,14,88,22,"2014-01-23"
"Gujarat","Surat","Residential",22,23,92,30,"2014-01-23"
"Gujarat","Vadodara","Industrial",19,22,89,29,"2014-01-23"
"Gujarat","Vadodara","Residential",14,18,76,25,"2014-01-23"
"Gujarat","Vadodara","Residential",16,17,96,28,"2014-01-23"
"Gujarat","Vapi","Residential",13,21,84,20,"2014-01-23"
"Gujarat","Vapi","Industrial",16,20,95,34,"2014-01-23"
"Odisha","Cuttack","Residential",2,36,143,84,"2014-01-23"
"Telangana","Sangareddy","Industrial",8.7,58.1,105,51,"2014-01-23"
"Gujarat","Jamnagar","Residential",14.1,15,71,32,"2014-01-24"
"Madhya Pradesh","Bhopal","Residential",3,31,108,76,"2014-01-24"
"Odisha","Bhubaneswar","Residential",2,17,118,73,"2014-01-24"
"Odisha","Bhubaneswar","Residential",2,27,130,75,"2014-01-24"
"Odisha","Cuttack","Residential",3,36,143,70,"2014-01-24"
"Odisha","Paradeep","Industrial",9,12,131,53,"2014-01-24"
"Odisha","Paradeep","Residential",9,12,124,57,"2014-01-24"
"Odisha","Paradeep","Residential",9,14,160,68,"2014-01-24"
"Telangana","Sangareddy","Industrial",10.5,61.9,107,54,"2014-01-24"
"Madhya Pradesh","Bhopal","Industrial",2,22,177,182,"2014-01-25"
"Odisha","Bhubaneswar","Residential",2,25,181,92,"2014-01-25"
"Odisha","Cuttack","Residential",2,34,168,82,"2014-01-25"
"Telangana","Sangareddy","Industrial",12.1,76.8,136,69,"2014-01-25"
"Telangana","Sangareddy","Industrial",22,83.6,207,115,"2014-01-26"
"Gujarat","Ahmedabad","Industrial",15.7,16.28333333,72.33333333,28,"2014-01-27"
"Gujarat","Ahmedabad","Residential",14,18,81,22,"2014-01-27"
"Gujarat","Ahmedabad","Residential",13,20,79,32,"2014-01-27"
"Gujarat","Ahmedabad","Residential",14,20,78,29,"2014-01-27"
"Gujarat","Ahmedabad","Industrial",13,21,78,27,"2014-01-27"
"Gujarat","Ahmedabad","Residential",14,20,75,25,"2014-01-27"
"Gujarat","Ankleshwar","Residential",24,23,88,29,"2014-01-27"
"Gujarat","Ankleshwar","Industrial",19,17,85,26,"2014-01-27"
"Gujarat","Rajkot","Industrial",14,15,73,24,"2014-01-27"
"Gujarat","Surat","Residential",14,14,75,31,"2014-01-27"
"Gujarat","Surat","Industrial",17,14,92,29,"2014-01-27"
"Gujarat","Surat","Residential",18,20,82,29,"2014-01-27"
"Gujarat","Vadodara","Industrial",17,21,92,33,"2014-01-27"
"Gujarat","Vadodara","Residential",11,16,80,27,"2014-01-27"
"Gujarat","Vadodara","Residential",15,18,82,25,"2014-01-27"
"Gujarat","Vapi","Residential",13,15,82,18,"2014-01-27"
"Gujarat","Vapi","Industrial",18,18,113,51,"2014-01-27"
"Madhya Pradesh","Bhopal","Industrial",2,30,254,77,"2014-01-27"
"Odisha","Bhubaneswar","Residential",2,24,116,74,"2014-01-27"
"Odisha","Cuttack","Residential",2,37,147,85,"2014-01-27"
"Telangana","Sangareddy","Industrial",25.2,62,125,54,"2014-01-27"
"Gujarat","Jamnagar","Residential",16.85,15,74,16,"2014-01-28"
"Odisha","Bhubaneswar","Residential",2,30,167,37,"2014-01-28"
"Odisha","Cuttack","Residential",2,34,127,82,"2014-01-28"
"Odisha","Paradeep","Industrial",10,12,128,66,"2014-01-28"
"Odisha","Paradeep","Residential",8,11,194,81,"2014-01-28"
"Odisha","Paradeep","Residential",9,13,198,67,"2014-01-28"
"Telangana","Sangareddy","Industrial",27.7,102.7,164,70,"2014-01-28"
"Madhya Pradesh","Bhopal","Residential",2,17,198,141,"2014-01-29"
"Odisha","Bhubaneswar","Residential",2,16,196,110,"2014-01-29"
"Odisha","Bhubaneswar","Residential",2,21,173,106,"2014-01-29"
"Odisha","Cuttack","Residential",2,38,160,93,"2014-01-29"
"Telangana","Sangareddy","Industrial",18.1,105.7,147,67,"2014-01-29"
"Gujarat","Ahmedabad","Industrial",18.1,17.71666667,92.66666667,26,"2014-01-30"
"Gujarat","Ahmedabad","Residential",13,18,85,30,"2014-01-30"
"Gujarat","Ahmedabad","Residential",15,21,64,24,"2014-01-30"
"Gujarat","Ahmedabad","Residential",13,20,83,30,"2014-01-30"
"Gujarat","Ahmedabad","Industrial",14,20,84,24,"2014-01-30"
"Gujarat","Ahmedabad","Residential",15,20,89,27,"2014-01-30"
"Gujarat","Ankleshwar","Residential",22,24,88,35,"2014-01-30"
"Gujarat","Ankleshwar","Industrial",14,16,85,32,"2014-01-30"
"Gujarat","Rajkot","Industrial",14,12,73,28,"2014-01-30"
"Gujarat","Surat","Residential",13,12,87,28,"2014-01-30"
"Gujarat","Surat","Industrial",17,16,114,24,"2014-01-30"
"Gujarat","Surat","Residential",18,17,94,23,"2014-01-30"
"Gujarat","Vadodara","Industrial",16,21,99,38,"2014-01-30"
"Gujarat","Vadodara","Residential",14,16,79,24,"2014-01-30"
"Gujarat","Vadodara","Residential",16,18,90,29,"2014-01-30"
"Gujarat","Vapi","Residential",15,21,82,24,"2014-01-30"
"Gujarat","Vapi","Industrial",20,17,99,29,"2014-01-30"
"Odisha","Cuttack","Residential",3,36,149,89,"2014-01-30"
"Telangana","Sangareddy","Industrial",21.5,89.7,194,80,"2014-01-30"
"Gujarat","Jamnagar","Residential",15.95,13,80,21,"2014-01-31"
"Madhya Pradesh","Bhopal","Residential",2,31,280,41,"2014-01-31"
"Odisha","Bhubaneswar","Residential",2,21,190,100,"2014-01-31"
"Odisha","Bhubaneswar","Residential",2,22,179,95,"2014-01-31"
"Odisha","Bhubaneswar","Residential",2,18,175,70,"2014-01-31"
"Odisha","Cuttack","Residential",2,34,129,80,"2014-01-31"
"Odisha","Paradeep","Industrial",9,12,156,82,"2014-01-31"
"Odisha","Paradeep","Residential",9,13,237,120,"2014-01-31"
"Odisha","Paradeep","Residential",8,12,192,68,"2014-01-31"
"Telangana","Sangareddy","Industrial",20.6,93.2,166,84,"2014-01-31"
"Odisha","Cuttack","Residential",2,40,159,94,"2014-02-01"
"Telangana","Sangareddy","Industrial",2.2,93.6,134,69,"2014-02-01"
"Telangana","Sangareddy","Industrial",8,100,175,97,"2014-02-02"
"Telangana","Sangareddy","Industrial",3.3,62.8,86,48,"2014-02-03"
"Madhya Pradesh","Bhopal","Residential",2,22,111,33,"2014-02-04"
"Odisha","Bhubaneswar","Residential",2,19,90,49,"2014-02-04"
"Odisha","Cuttack","Residential",2,33,94,55,"2014-02-04"
"Telangana","Sangareddy","Industrial",6.3,61.6,125,64,"2014-02-04"
"Gujarat","Jamnagar","Residential",21.93333333,24,87,26,"2014-02-05"
"Madhya Pradesh","Bhopal","Residential",2,22,84,18,"2014-02-05"
"Odisha","Bhubaneswar","Residential",2,12,55,14,"2014-02-05"
"Odisha","Bhubaneswar","Residential",2,11,76,10,"2014-02-05"
"Odisha","Cuttack","Residential",2,26,75,38,"2014-02-05"
"Odisha","Paradeep","Industrial",10,10,54,28,"2014-02-05"
"Odisha","Paradeep","Residential",9,11,39,12,"2014-02-05"
"Odisha","Paradeep","Residential",6,11,38,15,"2014-02-05"
"Telangana","Sangareddy","Industrial",8.3,43.9,85,28,"2014-02-05"
"Gujarat","Ahmedabad","Industrial",14.86666667,22.25,99,32,"2014-02-06"
"Gujarat","Ahmedabad","Residential",15,23,93,31,"2014-02-06"
"Gujarat","Ahmedabad","Residential",12,18,98,26,"2014-02-06"
"Gujarat","Ahmedabad","Residential",12,19,85,28,"2014-02-06"
"Gujarat","Ahmedabad","Industrial",11,17,81,31,"2014-02-06"
"Gujarat","Ahmedabad","Residential",12,16,87,29,"2014-02-06"
"Gujarat","Ankleshwar","Residential",14,22,84,29,"2014-02-06"
"Gujarat","Ankleshwar","Industrial",16,23,109,36,"2014-02-06"
"Gujarat","Rajkot","Industrial",13,19,91,42,"2014-02-06"
"Gujarat","Rajkot","Residential",11,17,73,31,"2014-02-06"
"Gujarat","Surat","Residential",14,22,102,35,"2014-02-06"
"Gujarat","Surat","Industrial",15,22,98,36,"2014-02-06"
"Gujarat","Surat","Residential",14,21,102,39,"2014-02-06"
"Gujarat","Vadodara","Industrial",14,21,114,42,"2014-02-06"
"Gujarat","Vadodara","Residential",13,20,88,34,"2014-02-06"
"Gujarat","Vadodara","Residential",14,21,103,44,"2014-02-06"
"Gujarat","Vapi","Residential",14,21,101,43,"2014-02-06"
"Gujarat","Vapi","Industrial",15,22,107,38,"2014-02-06"
"Madhya Pradesh","Bhopal","Industrial",2,31,126,52,"2014-02-06"
"Odisha","Cuttack","Residential",3,31,74,39,"2014-02-06"
"Telangana","Sangareddy","Industrial",0.5,64,104,44,"2014-02-06"
"Madhya Pradesh","Bhopal","Residential",2,23,39,16,"2014-02-07"
"Odisha","Cuttack","Residential",2,31,67,25,"2014-02-07"
"Odisha","Paradeep","Industrial",10,13,42,17,"2014-02-07"
"Odisha","Paradeep","Residential",11,13,56,28,"2014-02-07"
"Odisha","Paradeep","Residential",9,14,32,16,"2014-02-07"
"Telangana","Sangareddy","Industrial",3.9,42.9,85,21,"2014-02-07"
"Gujarat","Ahmedabad","Industrial",14.6,23.18333333,86,29,"2014-02-08"
"Gujarat","Ahmedabad","Residential",14,21,82,29,"2014-02-08"
"Gujarat","Ahmedabad","Residential",10,19,76,25,"2014-02-08"
"Gujarat","Ahmedabad","Residential",12,20,78,28,"2014-02-08"
"Gujarat","Ahmedabad","Industrial",12,20,75,27,"2014-02-08"
"Gujarat","Ahmedabad","Residential",12,20,83,26,"2014-02-08"
"Gujarat","Jamnagar","Residential",13.56666667,20,93,44,"2014-02-08"
"Madhya Pradesh","Bhopal","Industrial",2,49,81,65,"2014-02-08"
"Odisha","Cuttack","Residential",2,30,55,30,"2014-02-08"
"Telangana","Sangareddy","Industrial",3.96,27.2,42,12,"2014-02-08"
"Odisha","Bhubaneswar","Residential",2,17,42,12,"2014-02-09"
"Odisha","Cuttack","Residential",2,23,49,34,"2014-02-09"
"Telangana","Sangareddy","Industrial",3.8,26.9,24,6,"2014-02-09"
"Gujarat","Ankleshwar","Residential",14,20,90,26,"2014-02-10"
"Gujarat","Ankleshwar","Industrial",15,24,88,28,"2014-02-10"
"Odisha","Cuttack","Residential",4,32,57,42,"2014-02-10"
"Odisha","Cuttack","Residential",4,28,66,34,"2014-02-10"
"Telangana","Sangareddy","Industrial",11.2,58.2,114,57,"2014-02-10"
"Telangana","Sangareddy","Industrial",17.5,59.6,157,74,"2014-02-11"
"Odisha","Cuttack","Residential",2,25,76,54,"2014-02-12"
"Odisha","Paradeep","Industrial",12,13,190,80,"2014-02-12"
"Odisha","Paradeep","Residential",11,12,97,25,"2014-02-12"
"Telangana","Sangareddy","Industrial",9.5,77.1,148,67,"2014-02-12"
"Gujarat","Ahmedabad","Industrial",14.63333333,19.13333333,86.66666667,27,"2014-02-13"
"Gujarat","Ahmedabad","Residential",15,21,84,25,"2014-02-13"
"Gujarat","Ahmedabad","Residential",14,21,78,29,"2014-02-13"
"Gujarat","Ahmedabad","Residential",15,18,72,26,"2014-02-13"
"Gujarat","Ahmedabad","Industrial",14,20,82,30,"2014-02-13"
"Gujarat","Ahmedabad","Residential",14,20,83,28,"2014-02-13"
"Gujarat","Ankleshwar","Residential",14,17,94,28,"2014-02-13"
"Gujarat","Ankleshwar","Industrial",15,16,77,22,"2014-02-13"
"Gujarat","Jamnagar","Residential",12.81666667,20,53,21,"2014-02-13"
"Gujarat","Rajkot","Industrial",12,20,82,24,"2014-02-13"
"Gujarat","Surat","Residential",12,14,91,27,"2014-02-13"
"Gujarat","Surat","Industrial",14,16,79,21,"2014-02-13"
"Gujarat","Surat","Residential",15,19,91,28,"2014-02-13"
"Gujarat","Vadodara","Industrial",18,19,74,18,"2014-02-13"
"Gujarat","Vadodara","Residential",14,19,54,18,"2014-02-13"
"Gujarat","Vadodara","Residential",13,20,85,31,"2014-02-13"
"Gujarat","Vapi","Residential",13,18,96,26,"2014-02-13"
"Gujarat","Vapi","Industrial",13,17,62,22,"2014-02-13"
"Odisha","Cuttack","Residential",2,37,130,80,"2014-02-13"
"Telangana","Sangareddy","Industrial",8.4,52.8,82,39,"2014-02-13"
"Madhya Pradesh","Bhopal","Residential",2,23,145,53,"2014-02-14"
"Odisha","Bhubaneswar","Residential",2,18,90,18,"2014-02-14"
"Odisha","Bhubaneswar","Residential",2,13,94,31,"2014-02-14"
"Odisha","Cuttack","Residential",2,29,98,67,"2014-02-14"
"Odisha","Paradeep","Residential",6,11,71,43,"2014-02-14"
"Odisha","Paradeep","Residential",8,13,85,51,"2014-02-14"
"Telangana","Sangareddy","Industrial",6.5,56.7,69,31,"2014-02-14"
"Madhya Pradesh","Bhopal","Industrial",2,26,177,91,"2014-02-15"
"Odisha","Bhubaneswar","Residential",2,14,140,97,"2014-02-15"
"Odisha","Cuttack","Residential",2,33,134,69,"2014-02-15"
"Telangana","Sangareddy","Industrial",6.7,61.3,70,24,"2014-02-15"
"Telangana","Sangareddy","Industrial",7.8,55.5,78,27,"2014-02-16"
"Gujarat","Ahmedabad","Industrial",14.65,20.65,70.33333333,21,"2014-02-17"
"Gujarat","Ahmedabad","Residential",15,20,79,26,"2014-02-17"
"Gujarat","Ahmedabad","Residential",14,19,73,26,"2014-02-17"
"Gujarat","Ahmedabad","Residential",16,18,83,22,"2014-02-17"
"Gujarat","Ahmedabad","Industrial",15,19,80,29,"2014-02-17"
"Gujarat","Ahmedabad","Residential",14,18,82,26,"2014-02-17"
"Gujarat","Ankleshwar","Residential",12,15,86,24,"2014-02-17"
"Gujarat","Ankleshwar","Industrial",15,20,81,34,"2014-02-17"
"Gujarat","Jamnagar","Residential",15.25,19,61,29,"2014-02-17"
"Gujarat","Rajkot","Industrial",15,17,77,25,"2014-02-17"
"Gujarat","Surat","Residential",12,17,79,23,"2014-02-17"
"Gujarat","Surat","Industrial",14,16,72,24,"2014-02-17"
"Gujarat","Surat","Residential",13,16,100,31,"2014-02-17"
"Gujarat","Vadodara","Industrial",18,21,80,24,"2014-02-17"
"Gujarat","Vadodara","Residential",12,18,58,19,"2014-02-17"
"Gujarat","Vadodara","Residential",15,20,81,32,"2014-02-17"
"Gujarat","Vapi","Residential",12,17,94,26,"2014-02-17"
"Gujarat","Vapi","Industrial",15,16,94,29,"2014-02-17"
"Odisha","Cuttack","Residential",2,35,116,65,"2014-02-17"
"Telangana","Sangareddy","Industrial",14.4,67.4,111,40,"2014-02-17"
"Odisha","Bhubaneswar","Residential",2,24,94,51,"2014-02-18"
"Odisha","Bhubaneswar","Residential",2,14,77,17,"2014-02-18"
"Odisha","Cuttack","Residential",2,30,85,66,"2014-02-18"
"Odisha","Paradeep","Residential",15,14,101,59,"2014-02-18"
"Odisha","Paradeep","Residential",10,14,118,63,"2014-02-18"
"Telangana","Sangareddy","Industrial",16.1,67.8,128,56,"2014-02-18"
"Madhya Pradesh","Bhopal","Residential",2,23,146,174,"2014-02-19"
"Odisha","Bhubaneswar","Residential",2,24,149,77,"2014-02-19"
"Odisha","Cuttack","Residential",2,32,124,70,"2014-02-19"
"Telangana","Sangareddy","Industrial",5.4,62.1,126,57,"2014-02-19"
"Gujarat","Ahmedabad","Industrial",15.28333333,21.73333333,75,19,"2014-02-20"
"Gujarat","Ahmedabad","Residential",14,18,83,25,"2014-02-20"
"Gujarat","Ahmedabad","Residential",16,20,90,28,"2014-02-20"
"Gujarat","Ahmedabad","Residential",15,23,84,29,"2014-02-20"
"Gujarat","Ahmedabad","Industrial",15,21,76,27,"2014-02-20"
"Gujarat","Ahmedabad","Residential",14,19,85,32,"2014-02-20"
"Gujarat","Ankleshwar","Residential",15,16,92,26,"2014-02-20"
"Gujarat","Ankleshwar","Industrial",13,20,95,29,"2014-02-20"
"Gujarat","Jamnagar","Residential",14.26666667,18,77,19,"2014-02-20"
"Gujarat","Rajkot","Industrial",14,22,72,19,"2014-02-20"
"Gujarat","Surat","Residential",12,17,77,24,"2014-02-20"
"Gujarat","Surat","Industrial",12,16,88,26,"2014-02-20"
